"V1","V2","V3","V4"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0566,0.0464,0.0422
0.0111,0.2364,0.2191,0.203
0.259,0.4192,0.4051,0.3853
0.5012,0.5659,0.5559,0.5337
0.6553,0.6672,0.6605,0.6338
0.7261,0.7228,0.7179,0.6866
0.7436,0.734,0.7305,0.6936
0.7087,0.7027,0.7002,0.6705
0.6079,0.6281,0.6267,0.5938
0.4336,0.5095,0.5095,0.4731
0.1678,0.3498,0.3524,0.3132
1e-04,0.1669,0.1721,0.1389
0,0.0193,0.0265,0.0145
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0597,0.0431,0.0416
0.0123,0.2315,0.2215,0.2037
0.254,0.4108,0.4069,0.3893
0.4921,0.5563,0.5554,0.5379
0.6351,0.6572,0.6572,0.6304
0.709,0.7132,0.7123,0.6828
0.7204,0.7253,0.7233,0.6864
0.6564,0.6947,0.6922,0.6519
0.5484,0.6203,0.6183,0.5726
0.3585,0.4999,0.5018,0.4457
0.1116,0.3426,0.3466,0.2841
0,0.1652,0.169,0.1225
0,0.027,0.0275,0.0134
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,7e-04,0,0
0,0.0639,0.0458,0.04
0.0032,0.2195,0.2191,0.1874
0.1027,0.3961,0.4013,0.3629
0.2187,0.5473,0.5463,0.5127
0.3169,0.6541,0.6463,0.631
0.3743,0.7112,0.6995,0.6856
0.3749,0.7237,0.7098,0.6896
0.3348,0.6923,0.6777,0.6498
0.2655,0.6182,0.6028,0.5647
0.1437,0.5001,0.4848,0.4359
0.0404,0.3427,0.3261,0.2748
0,0.166,0.1585,0.1165
0,0.0292,0.0334,0.0124
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
