,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Number,Name,Unit-Name,owner-type,owner,Location,Gouvernorate,Fuel,No of Unit,Commissioning-year,Total Installed Capacity (MW),Efficiency,pp-type,Optional Fuel,Annual Production [GWh],Source,Notes,,,Coordinates,,All coordinates are either taken from http://enipedia.tudelft.nl/wiki/Tunisia/Powerplants or from http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22797-rades-ii-gas-power-plant
1,Rades I,,Public,STEG,Rades ,Tunis,Natural Gas,2,1985,324,33,Steam Turbine,Oil,,"GIZ (2013), p.19","STEG / JICA (2014), p. IV-8",,,"36.77 N, 10.28 E",,
2,Rades I,,Public,STEG,Rades ,Tunis,Natural Gas,2,1998,354,35,Steam Turbine,Oil,,"GIZ (2013), p.19",,,,"36.77 N, 10.28 E",,
3,Ghanouche,,Public,STEG,Ghannouche ,Gabes,Natural Gas,2,1972,60,28,Steam Turbine,,,"GIZ (2013), p.19",http://www.globalenergyobservatory.org/geoid/41577,,,"33.9333 N, 10.0667 E",,
4,Sousse,Sousse A,Public,STEG,Sousse ,Sousse,Natural Gas,2,1980,306,32.5,Steam Turbine,,,"GIZ (2013), p.19",http://www.globalenergyobservatory.org/geoid/41564,,,"35.83 N, 10.64 E",,
5,Sousse,Sousse B,Public,STEG,Sousse ,Sousse,Natural Gas,1,1994,120,44,CCGT,Distillate,,"GIZ (2013), p.19",,,,"35.83 N, 10.64 E",,
6,Sousse,Sousse B,Public,STEG,Sousse ,Sousse,Natural Gas,1,1994,120,44,CCGT,Distillate,,"GIZ (2013), p.19",,,,"35.83 N, 10.64 E",,
7,Sousse,Sousse B,Public,STEG,Sousse ,Sousse,Natural Gas,1,1994,124,44,CCGT,Distillate,,"GIZ (2013), p.19",,,,"35.83 N, 10.64 E",,
8,Rades II,,IPP,Carthage Power Co Sarl (CPC),Rades ,Tunis,Natural Gas,1,2002,471,44,CCGT,Diesel oil,,"GIZ (2013), p.19",End of activity (based on E&M Systems): 2020-2025,,,"36.76 N, 10.27 E",,
9,El Biben,Biben,IPP,Soc D'elec D'el Bibane (SEEB),Zarzis ,Medenine,Natural Gas,2,2003,27,22,CCGT,,,"GIZ (2013), p.19",http://www.industcards.com/cc-tunisia.htm,"Energy & Meteo Systems (2013), p. 28",End of activity (based on E&M Systems): 2020-2025,"33.503981 N, 11.112155 E",,
10,Ghanouche,,Public,STEG,Ghannouche ,Gabes,Natural Gas,1,2011,416,52.5,CCGT,,,"GIZ (2013), p.19",,,,"33.9333 N, 10.0667 E",,
11,Thyna,,Public,STEG,Thyna ,Sfax,Natural Gas,1,2004,120,29,OCGT,,,"GIZ (2013), p.19",http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22803-thyna-gas-power-plant,"Energy & Meteo Systems (2013), p. 28",,"34.6542 N, 10.6764 E",,
12,Thyna,,Public,STEG,Thyna ,Sfax,Natural Gas,1,2010,120,29,OCGT,,,"GIZ (2013), p.19",http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22803-thyna-gas-power-plant,"Energy & Meteo Systems (2013), p. 28",,"34.6542 N, 10.6764 E",,
13,Thyna,,Public,STEG,Thyna ,Sfax,Natural Gas,1,2010,120,29,OCGT,,,"GIZ (2013), p.19",http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22803-thyna-gas-power-plant,"Energy & Meteo Systems (2013), p. 28",,"34.6542 N, 10.6764 E",,
14,Fyrianah,,Public,STEG,Fyrianah,Kasserine,Natural Gas,1,2005,118,29,OCGT,,,http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22787-feriana-gas-power-plant,http://enipedia.tudelft.nl/wiki/Feriana_Powerplant,http://globalenergyobservatory.org/geoid/41565,,"34.905500,8.540937",,
