"V1","V2","V3","V4"
0.7905,0.1211,0.6168,0.1095
0.8016,0.1176,0.6243,0.1061
0.8106,0.1223,0.6301,0.1072
0.8101,0.1212,0.6206,0.1088
0.8179,0.1142,0.5954,0.1108
0.8292,0.0842,0.5692,0.1033
0.8246,0.0968,0.5957,0.0757
0.8095,0.1198,0.5689,0.0554
0.8314,0.121,0.5382,0.0432
0.879,0.1268,0.5112,0.04
0.9263,0.1487,0.4891,0.0269
0.9584,0.1782,0.4836,0.0182
0.9687,0.2152,0.4712,0.0188
0.9697,0.2542,0.4507,0.0367
0.964,0.292,0.4243,0.0813
0.9051,0.3252,0.4085,0.1191
0.8258,0.3511,0.3883,0.1481
0.8135,0.374,0.3471,0.1932
0.8215,0.3759,0.2944,0.2167
0.7999,0.3578,0.2589,0.1987
0.7681,0.3271,0.2322,0.1704
0.7236,0.2897,0.2044,0.1738
0.6761,0.258,0.1784,0.2016
0.6443,0.2368,0.1674,0.2263
